Authors,Title,Year,Issue,Page start,Page end,Abstract,Affiliations,ISBN,DOI,Link,EID,Publisher,Cited by,Source title,Source
N. K. Jha; P. K. Bhowmik; K. K. Bhagat,Usability Evaluation of an Online Inquiry-Based Learning Platform for Computational Thinking (CT-ONLINQ),2023,Null,182,186,"With the increased focus on Computational Thinking (CT) in education, there has been an increase in the development of learning platforms to teach CT. The current study developed an Online Inquiry-based learning platform for Computational Thinking (CT-ONLINQ) to support CT activities using Inquiry-based Learning (IBL) pedagogy. IBL-based CT steps include algorithm design, analysis, and comparison of algorithms. The platform allows students to explore multiple solutions and provides hints as support during problem-solving activities. A 4-week experimental study was conducted to evaluate the usability of the online platform. A total of 79 9th-grade students volunteered to participate in this study to complete six activities. Subsequently, the students completed the SUS questionnaire and open-ended feedback questions. Results showed that around 80% of the students scored above the “Good” category (70-80), with a total average score of 78.45. Also, we analyzed the difference in rating scores among groups based on multiple background factors. Findings showed an average rating above 4 with no significant difference between the ratings among factors such as gender and math performance (below-above average math scores). In addition, analysis of the feedback comments showed that the platform is user-friendly, with students enthusiastic about learning coding on the platform.","Advanced Technology Development Centre, Indian Institute of Technology, Kharagpur, West Bengal, India; G.S. Sanyal School of Telecommunications, Indian Institute of Technology, Kharagpur, West Bengal, India; Advanced Technology Development Centre, Indian Institute of Technology, Kharagpur, West Bengal, India",979-8-3503-0054-3,10.1109/ICALT58122.2023.00059,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10260900,IEEE Conferences,IEEE,1,2023 IEEE International Conference on Advanced Learning Technologies (ICALT),IEEE Xplore
N. V. Mendoza Diaz; S. Y. Yoon; D. A. Trytten; R. Meier,Development and Validation of the Engineering Computational Thinking Diagnostic for Undergraduate Students,2023,Null,133099,133114,"Computational thinking is one barrier to enculturating as a professional engineer. We created the Engineering Computational Thinking Diagnostic (ECTD) as an instructional tool that can identify at-risk first-year engineering students. The purpose of this study is to provide construct validity, internal consistency reliability, item characteristics, and criterion validity evidence for this diagnostic. From fall 2020 to fall 2021, 469 students from three institutions in the United States took the diagnostic. The data from 152 students at one institution was used to provide evidence of predictive validity. Exploratory and confirmatory factor analyses resulted in 20 items loading onto one factor in a good model fit range, with the internal consistency reliability coefficient, Cronbach  $\alpha $  of 0.86. From item analyses based on classical test theory, the diagnostic items on average tended to be slightly easy but had sufficient discrimination power. The correlation matrix for criterion validity evidence indicated that the diagnostic functions well to differentiate students’ computational thinking ability by prior computer science course experience as well as by first-generation status. Predictive validity evidence from regression analyses revealed the statistically significant effect of students’ diagnostic scores assessed at the beginning of the first semester on predicting their end of semester course grades. The ECTD can have a broad impact because it provides a tool to gauge the entry-level skills of students, enabling early curriculum interventions to help retention and persistence to graduation. We make the case that the ECTD could contribute to the development of a more diverse workforce in engineering.","Department of Engineering Technology and Industrial Distribution, Texas A&M University, College Station, TX, USA; Department of Engineering and Computing Education, University of Cincinnati, Cincinnati, OH, USA; School of Computer Science, The University of Oklahoma, Norman, OK, USA; Department of Electrical Engineering and Computer Science, Milwaukee School of Engineering, Milwaukee, WI, USA",Null,10.1109/ACCESS.2023.3335931,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10327734,IEEE Journals,IEEE,0,IEEE Access,IEEE Xplore
N. Adnan; S. N. H. S. Abdullah; R. J. Raja Yusof; N. F. A. Zainal; F. Qamar; E. Yadegaridehkordi,A Systematic Literature Review in Robotics Experiential Learning With Computational and Adversarial Thinking,2023,Null,44806,44827,"The rise of the Industrial Revolution 4.0 and the increasing reliance on the digital economy drive the need for a new set of skills, especially in robotics learning, that includes computational thinking (CT) and adversarial thinking (AT) for the young generation. The need for CT-related skills includes various fields, such as robotics, engineering, computer science, mathematics, music, arts, and humanities. Therefore, adopting robotic learning with CT and AT can enhance learning skills over the conventional learning model. This paper presents a systematic literature review on CT and AT practices in robotics learning to improve educational methods. This study conducts a systematic literature review from four databases: ACM, Scopus, IEEE Xplore, and ScienceDirect. Sixty-five studies in robotics learning to increase CT and AT skills were analyzed by applying the inclusion and exclusion criteria. The study’s findings show that CT and AT are significant in training students to engage in robotics learning activities. These considerations will lead to strengthening their skill and critical thinking. The study also suggests that integrating these skills can prepare teachers for critical thinking and boost student learning. The findings suggest that CT and AT can directly adopt digital adversarial learning skills to improve overall robotics learning activities. For future studies, the difference in learning ages related to robotics activities with CT and AT applications can be studied to deeply comprehend the effectiveness of CT and AT applications.","Faculty of Information Science and Technology, Universiti Kebangsaan Malaysia, Bangi, Malaysia; Faculty of Information Science and Technology, Universiti Kebangsaan Malaysia, Bangi, Malaysia; Department of Software Engineering, Faculty of Computer Science and Information Technology, Universiti Malaya, Kuala Lumpur, Malaysia; Faculty of Information Science and Technology, Universiti Kebangsaan Malaysia, Bangi, Malaysia; Faculty of Information Science and Technology, Universiti Kebangsaan Malaysia, Bangi, Malaysia; Faculty of Information Science and Technology, Universiti Kebangsaan Malaysia, Bangi, Malaysia",Null,10.1109/ACCESS.2023.3249761,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10054368,IEEE Journals,IEEE,3,IEEE Access,IEEE Xplore
N. A. N. Ahamad; I. Ismail; N. H. M. Zain; M. Ismail,Computational Thinking in Game-Based Learning for STEM Education,2024,Null,1,5,"Game-based learning (GBL) has been shown to enhance engagement, comprehension of course material, and academic achievements. This study aims to investigate previous studies on integrating computational thinking (CT) abilities in STEM education through GBL and propose a framework for integrating CT through the GBL framework. The proposed framework focuses on certain domains in creating mobile gaming content that facilitates the user's acquisition of knowledge about the advancement of CT in science, specifically within the STEM discipline. In addition, a comprehensive literature review was undertaken to identify a specific research need. In the proposed framework, this study emphasized more that CT is implemented as an approach to attract the involvement of students in STEM education through the framework. To foster more engagement, the development of CT should consider STEM-appropriate components of the framework by optimizing software and hardware functions.","College of Computing, Informatics and Mathematics, Universiti Teknologi MARA (UiTM), Shah Alam, Selangor, Malaysia; Center of Foundation Studies, Universiti Teknologi MARA (UiTM), Dengkil, Selangor, Malaysia; College of Computing, Informatics and Mathematics, Universiti Teknologi MARA (UiTM), Merlimau, Melaka, Malaysia; College of Computing, Informatics and Mathematics, Universiti Teknologi MARA (UiTM), Shah Alam, Selangor, Malaysia",979-8-3503-4879-8,10.1109/ISCAIE61308.2024.10576494,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10576494,IEEE Conferences,IEEE,0,2024 IEEE 14th Symposium on Computer Applications & Industrial Electronics (ISCAIE),IEEE Xplore
N. Dehbozorgi; M. Roopaei,Improving Computational Thinking Competencies in STEM Higher Education,2024,Null,01,04,"Computational thinking (CT) is a key competency with a significant impact on students' academic performance in STEM fields. It empowers students to enhance problem-solving skills by decomposing problems, utilizing abstraction and pattern recognition, and employing algorithmic thinking to design solutions and build models. This is particularly important in STEM disciplines where logical reasoning is essential for addressing complex real-world challenges in academic and industrial settings. Given the increasing demand for professionals equipped with strong algorithmic thinking and problem-solving abilities in Industry 5, educational institutions are focusing on enhancing students' CT and problem-solving skills. This study presents an initiative conducted over the past two years at our institute to teach CT in a gateway course to students with different backgrounds in STEM fields. The approach involved designing specific learning modules on Abstraction, Decomposition, Pattern Recognition, and Algorithmic Thinking and integrating them into the LMS. After studying these learning modules, the students were exposed to specific assignments that required the application of related CT skills. Pre and post surveys were employed by using standard CT tests to measure the impact of the intervention on students' CT levels. The results indicated an improvement in students' perceptions of their mastery of CT. Academic course grades also showed an improvement, with increased A scores and reduced F grades post-intervention. This two-year study on improving CT skills has yielded promising results. Moving forward, the research aims to enhance the existing modules further and distribute them to a broader range of introductory-level STEM courses in other universities. This future direction aligns with the goal of expanding the impact of CT education and integrating it more widely into STEM curricula.",NA; NA,979-8-3503-5280-1,10.1109/ISEC61299.2024.10664997,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10664997,IEEE Conferences,IEEE,0,2024 IEEE Integrated STEM Education Conference (ISEC),IEEE Xplore
O. Yaşar,The Essence of Computational Thinking,2017,4.0,74,82,A decade of discourse to capture the essence of computational thinking has resulted in a broad set of skills whose teaching continue to pose challenges because of the reliance on the use of electronic computers and programming concepts. This article not only links computational thinking skills to fundamental cognitive competencies but also describes pedagogical tools that have proven effective in teaching them at early ages.,State University of New York,Null,10.1109/MCSE.2017.3151241,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8012290,IEEE Magazines,IEEE,8,Computing in Science & Engineering,IEEE Xplore
O. Abdullah; A. Kamaludin; N. S. A. Rahman,Gender Differences in Computational Thinking Skills among Malaysian’s Primary School Students using Visual Programming,2021,Null,655,660,"Computational Thinking (CT) is a thought process which utilize computer science concepts to solve problem in the real life. One of the methods to develop CT among the Children is by using visual programming to create computational artifacts such as animation and games. This study collected 50 animation and 47 games projects created by the primary school students in standard 6 (12-year-old) from the eight-week lesson using visual programming Scratch. The purpose of the study is to investigate if there is a significant difference between male and female students on CT skills of flow control, logic, data representation, parallelism, synchronization, user interactivity and abstraction. Source code projects were analyzed for CT skills score. Result from Mann-Whitney U test shows the different was not statistically significant between male and female students on CT skills mentioned previously.","Faculty of Computing, University Malaysia Pahang, Malaysia; Faculty of Computing, University Malaysia Pahang, Malaysia; Faculty of Computing, University Malaysia Pahang, Malaysia",978-1-6654-1407-4,10.1109/ICSECS52883.2021.00125,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9537050,IEEE Conferences,IEEE,2,2021 International Conference on Software Engineering & Computer Systems and 4th International Conference on Computational Science and Information Management (ICSECS-ICOCSIM),IEEE Xplore
O. Adeyemi; B. Hui,Using Open Technology to Bring Computational Thinking Activities to the Outdoors,2023,Null,187,189,"Many educational resources are available that teach children computational thinking and visual programming. As part of this initiative, we develop computational puzzles from well-known computational thinking activities. Inspired by the idea of geocaching, we made our puzzles accessible and fun for the whole family by embedding them into a scavenger hunt. We describe our approach that frames computational puzzles as an outdoor family activity. Our project was launched in 2021 and has received informal positive feedback.","Computer Science, University of British Columbia, Kelowna, Canada; Computer Science, University of British Columbia, Kelowna, Canada",979-8-3503-0054-3,10.1109/ICALT58122.2023.00060,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10260830,IEEE Conferences,IEEE,0,2023 IEEE International Conference on Advanced Learning Technologies (ICALT),IEEE Xplore
P. -j. Wang,Learning and Control of Human-Like Thinking Process,2006,Null,850,854,"Human thinking is probably divided into three kinds: iconic imagery thinking, abstract logical thinking and afflatus thinking, but human control thinking process maybe classified as two kinds which are active control thinking process and passive control thinking process. The control methods and strategy of each control thinking process are discussed in this paper. The test results are given in this paper, it is proved that the research content is right and could be used in the process control. It provides the basis for human-like intelligent control to be used in complex system","School of Computer Science and Engineering, Yantai University, Yantai, China",1-4244-0061-9,10.1109/ICMLC.2006.258484,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4028181,IEEE Conferences,IEEE,4,2006 International Conference on Machine Learning and Cybernetics,IEEE Xplore
P. Wang,Analysis and Implementation of Human Control Thinking Process,2006,Null,2146,2150,"Human control thinking process maybe classified as two kinds which are active control thinking process and passive control thinking process. The control methods and strategy of each control thinking process are discussed in this paper, the storage and mining of control experiences are analyzed. The test results are given in this paper, it is proved that the research content is right and could be used in the process control. It provides the basis for Human-like intelligent control to be used in complex system","School of Computer Science and Engineering, Yantai University, Yantai, China",7-302-13922-9,10.1109/CESA.2006.4281993,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4281993,IEEE Conferences,IEEE,2,"The Proceedings of the Multiconference on ""Computational Engineering in Systems Applications""",IEEE Xplore
P. B. Henderson,Ubiquitous Computational Thinking,2009,10.0,100,102,"The computational thinking view recognizes that underlying computing concepts are integral to our everyday lives and pervasive in many disciplines of study. Computer science, information systems, computer engineering, informatics, software engineering-these are among the smorgasbord of choices available to college students interested in a computing career. The choices for noncomputing-oriented students who want to learn about the field are even more confounding. Indeed, the established term ""computer science"" is not well-defined or well understood, leading to further confusion for students and their parents as well as the general public. These are some factors I view as contributing to the drop in interest in the study of computer science. The student should learn the fundamental concept of computer sciences. Computing education has been too slow moving from the computing = programming model to a more general and understandable model that captures the essence of the discipline for everyone.","Butler University, USA",Null,10.1109/MC.2009.334,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5280664,IEEE Magazines,IEEE,18,Computer,IEEE Xplore
P. J. Denning,Reflections on a Symposium on Computation,2012,7.0,799,802,"ACM Ubiquity hosted a symposium in 2010–2011 on Turing's question, ‘What is computation?’ The editor reflects on how the symposium was organized and what conclusions it reached. The authors showed strong consensus around the propositions that computation is a process, computational model matters, many computations are natural, many important computations are continuous, many important computations are nonterminating and computational thinking has emerged as a core practice of computing. They left open the questions of whether the Turing model is the best reference model, is computational necessarily a physical process, what is information and what is an algorithm.",Null,Null,10.1093/comjnl/bxs064,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8130238,OUP Journals,OUP,0,The Computer Journal,IEEE Xplore
P. Ko,A longitudinal study of the effects of a high school robotics and computational thinking class on academic achievement (WIP),2013,Null,181,183,"While there has been a rising interest in computational thinking (CT) and a push to include it into the K-12 curriculum, there is little empirical evidence that a class that teaches CT will have any measurable long-term effects on student performance. Using robotics as an example of CT instruction, I propose to examine a high school that has had a large number of robotics students over the past six years to find evidence for the long-term benefits of CT. I will analyze school records (e.g. STEM class enrollment, STEM test scores, SAT scores) for differences between robotics and non-robotics students and compare interviews with selected students.","STEM Education, University of Texas at Austin, Austin, TX, USA",978-1-4673-5261-1,10.1109/FIE.2013.6684812,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6684812,IEEE Conferences,IEEE,5,2013 IEEE Frontiers in Education Conference (FIE),IEEE Xplore
P. Boechler; C. Artym; E. Dejong; M. Carbonaro; E. Stroulia,"Computational Thinking, Code Complexity, and Prior Experience in a Videogame-Building Assignment",2014,Null,396,398,"Computational-thinking skills are an essential intellectual amplifier for all scientific and professional disciplines. Embedding these skills in the K-12 and University curricula is necessary for training the next generation of thinkers. A widely adopted approach to doing so is through simple and visual programming languages like Scratch and engaging assignments like video-game construction. In this work, we report on an empirical study we conducted with senior undergraduate education students aiming to understand how prior experience enables students to better develop their computation-thinking skills through a Scratch-based video-game assignment.","Department of Educational Psycholoey, University of Alberta, Edmonton, AB, Canada; Department of Educational Psycholoey, University of Alberta, Edmonton, AB, Canada; Department of Educational Psycholoey, University of Alberta, Edmonton, AB, Canada; Department of Educational Psycholoey, University of Alberta, Edmonton, AB, Canada; Department of Computing Science, University of Alberta, Edmonton, AB, Canada",978-1-4799-4038-7,10.1109/ICALT.2014.118,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6901492,IEEE Conferences,IEEE,12,2014 IEEE 14th International Conference on Advanced Learning Technologies,IEEE Xplore
P. Karampiperis; A. Koukourikos; E. Koliopoulou,Towards Machines for Measuring Creativity: The Use of Computational Tools in Storytelling Activities,2014,Null,508,512,"Until now, significant R&D effort in the field of Computational Creativity, has been devoted towards understudying the elements of the creative process from idea conception to production, or towards designing machines which exhibit human level creativity without merely mimicking the human creative process. However, in the effort to determine if an artefact is creative by human standards, it is also important to examine the perception of creativity by humans and to which extend this perception can be formalized and applied on the evaluation of creative works. In this paper, we investigate how the human perception for creativity exhibited in text artefacts can be predicted using appropriate formulations of computational creativity metrics. To this end, we designed and executed a storytelling experiment assisted by the usage of computational tools. We subsequently exploited human-provided rankings of the stories in order to train a model for evaluating creativity as a combination of various characteristics of the produced stories.","Institute of Informatics & Telecommunications National Centre for Scientific Research “Demokritos”, Aghia Paraskevi Attikis, Greece; Institute of Informatics & Telecommunications National Centre for Scientific Research “Demokritos”, Aghia Paraskevi Attikis, Greece; Institute of Informatics & Telecommunications National Centre for Scientific Research “Demokritos”, Aghia Paraskevi Attikis, Greece",978-1-4799-4038-7,10.1109/ICALT.2014.150,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6901525,IEEE Conferences,IEEE,9,2014 IEEE 14th International Conference on Advanced Learning Technologies,IEEE Xplore
P. Snalune,The Benefits of Computational Thinking,2015,4.0,58,59,"Phillip Snalune, co-founder of the Codio coding and content platform, discusses why computational thinking is an important skill for school students to acquire, to enable them to contribute to the UK’s changing workforce…",Null,Null,10.1093/itnow/bwv111,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8166055,OUP Journals,OUP,0,ITNOW,IEEE Xplore
P. Silapachote; A. Srisuphab,Teaching and learning computational thinking through solving problems in Artificial Intelligence: On designing introductory engineering and computing courses,2016,Null,50,54,"At the core of every computing related discipline and impacting everyone everywhere, computational thinking or CT has increasingly emerged as its own subject in all levels of education. How to effectively teach CT skills poses real challenges and creates opportunities. Focusing on engineering and computer science undergraduates, we resourcefully integrated elements of Artificial Intelligence (AI) into introductory computing courses. In addition to a comprehension of the essence of CT, AI enabled inspirations of collaborative problem solving beyond abstraction, logical reasoning, critical, and analytical thinking. It fostered the study of basic data structures and algorithms. Students enjoyed active learning classrooms. Learning to learn, they constructed essential knowledge from solving exciting AI puzzles, competing in strategic AI games, and participating in intellectual discussion. Every activity is designed to allow students to fully engage their mental tools. Neither coding nor programming was required.","Faculty of Information and Communication Technology, Mahidol University, Thailand; Faculty of Information and Communication Technology, Mahidol University, Thailand",978-1-5090-5598-2,10.1109/TALE.2016.7851769,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7851769,IEEE Conferences,IEEE,10,"2016 IEEE International Conference on Teaching, Assessment, and Learning for Engineering (TALE)",IEEE Xplore
P. Padmanabhan; A. Baez; C. Caiseda; K. McLane; N. Ellanki; P. Seshaiyer; B. Kwon; E. Massawe,Design Thinking and computational modeling to stop illegal poaching,2017,Null,175,181,"In this paper, we describe an interdisciplinary approach using STEM to solving a real-world problem involving poaching. This integrated STEM experience helped a team of researchers that included students from K-12, undergraduate students, graduate students and faculty to collaboratively understand, design and test potential solutions to the problem. The team employed an engineering based Design-Thinking framework combined with effective brainstorming strategies that have been well-established in business, marketing and commercial environments along with a computational mathematics problem solving approach. Not only this integrated STEM experience provided an opportunity for the team of researchers to develop professionally but also gave them an opportunity to become change agents to transform institutional practices and to engage the broader community to inspire the next generation STEM workforce. Specifically, the project framework guided the research team to propose potential integrated STEM based solutions including the application of drones to track illegal poaching as well as the development of an intelligent sensor based tracking system which are validated via sophisticated mathematical and probabilistic algorithms. This overall experience has clearly helped to establish STEM education partnerships and alliances outside traditional boundaries and has helped to create new synergies for all stakeholders who are invested in solving the problem of poaching. Specifically, it has helped to develop an international research experience for high school, undergraduate and graduate students who now have a unique perspective on solving real-world problems in developing countries. The program has helped to promote the much needed awareness of using STEM based solutions to solve global challenges through a multi-disciplinary collaborative approach involving students and faculty from mathematical sciences and engineering who continue to collaborate.","Foxcroft School; Inter American University, Puerto Rico; Inter American University, Puerto Rico; George Mason University; George Mason University; George Mason University; Arizona State University; Nelson Mandela African Institute of Science and Technology, Tanzania",978-1-5090-5379-7,10.1109/ISECon.2017.7910238,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7910238,IEEE Conferences,IEEE,2,2017 IEEE Integrated STEM Education Conference (ISEC),IEEE Xplore
P. Chen; R. Huang,Design Thinking in App Inventor Game Design and Development: A Case Study,2017,Null,139,141,"Design thinking is considered as a creative, humancentred, participative, exploratory and problem-solving process that values different perspectives of a problem. In this study, we bring the design thinking in a curriculum framework of K-12 game creation by App Inventor which is currently popular block based programming environments for fostering Computational Thinking. In a case study on a middle-school students game creation course in Beijing, the students' creative thinking process and computational thinking skill are investigated in order to understand perceptions of App Inventor and physics cognitive knowledge involved in the game creation. The future work is to construct a framework of integrating the Design Thinking for cultivating K-12 students' computational thinking.","Smart Learning Institute, Beijing Normal University, Beijing, China; Department of Educational Technology, Capital Normal University, Beijing, China",978-1-5386-3870-5,10.1109/ICALT.2017.161,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8001741,IEEE Conferences,IEEE,9,2017 IEEE 17th International Conference on Advanced Learning Technologies (ICALT),IEEE Xplore
P. Anitha; S. K. Babu; U. R.; R. R. Bhavani,Scratching Out Problems: Exploring the Use of Computational Thinking for Social Work in Rural India,2018,Null,16,19,"Technologies for development have great potential in accelerating the socio-economic progress of disadvantaged communities. But these technologies are usually developed by people removed from the daily realities of fieldwork. This paper explores the need and the possibilities of educating rural populations and social workers on the use of technology to create their own digital artifacts. We discuss two workshops, one for villagers in the state of Telangana and the second one for graduate students of a university social work department exploring the use of MIT's Scratch software as a tool for assisting in social interventions. We also discuss the results of an acceptability study among the social work students to gauge the potential for such a tool to be used in the field.","Amrita Vishwa Vidyapeetham, AMMA CHI Labs, Amritapuri, India; Amrita Vishwa Vidyapeetham, AMMA CHI Labs, Amritapuri, India; Amrita Vishwa Vidyapeetham, Coimbatore, Tamil Nadu, IN; Amrita Vishwa Vidyapeetham, AMMA CHI Labs, Amritapuri, India",978-1-7281-1143-8,10.1109/T4E.2018.00011,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8590099,IEEE Conferences,IEEE,2,2018 IEEE Tenth International Conference on Technology for Education (T4E),IEEE Xplore
P. Gao; M. Lu; H. Zhao; M. Li,A New Teaching Pattern Based on PBL and Visual Programming in Computational Thinking Course,2019,Null,304,308,"As a fundamental and introductory course in undergraduate education, Computer Basis aims to cultivate the scientific computational thinking mode and the ability of solving problem for students who are not the computer majors. In this study, a new pedagogical method named PBL-VP combining the Problem-Based Learning (PBL) and the visual programming Blockly was applied to Computer Basis. This paper described a classical example about problem solving to explain the teaching process of the PBL-VP in detail. The process of problem solving was divided into several operable steps to gradually guide students to analyze problems, provide solutions and establish scientific logic thinking. Blockly was introduced to obscure the grammar of programming language and implement the algorithm visually. Finally, we evaluated the effectiveness of the PBL-VP teaching method on student learning by a contrast test. The empirical results proved that students in the class with PBL-VP earned higher final grades and the teaching method we proposed played a positive role in computer general education.","College of Computer and Control Engineering Nankai University, Tianjin, China; College of Computer and Control Engineering Nankai University, Tianjin, China; College of Computer and Control Engineering Nankai University, Tianjin, China; College of Computer and Control Engineering Nankai University, Tianjin, China",978-1-7281-1846-8,10.1109/ICCSE.2019.8845503,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8845503,IEEE Conferences,IEEE,7,2019 14th International Conference on Computer Science & Education (ICCSE),IEEE Xplore
P. Larsson; M. -V. Apiola; M. -J. Laakso,The uniqueness of Computational thinking,2019,Null,687,692,"The concept of computational thinking is timely. It is widely agreed that in order to benefit and thrive in a digital world, more than digital literacy is required. Computational thinking promises understanding of information technology and its utilization without necessarily knowing how to write code. According to many authors, skills in computational thinking include the ability to evaluate and design solutions to problems. However, the vision for computational thinking, laid out by a number of scholars, is even bigger than this. It proposes that thinking habits from computer science are beneficial for any kind of problem solving and that those thinking habits form a central part of modern sciences. It might be that components of computational thinking are indeed useful in problem solving and that they play an important part in other sciences. However, computer science combines three types of thinking traditions: theoretical (mathematical) tradition, engineering tradition and scientific tradition, and it is important to differentiate between what is an aspect in one or more of these traditions and what is unique for computer science. This clarification will support the application and teaching of computational thinking. This paper explores the uniqueness of computational thinking and its roots in theoretical, engineering and scientific traditions of computing.","Department of Future Technologies, University of Turku, Turku, Finland; Department of Future Technologies, University of Turku, Turku, Finland; Department of Future Technologies, University of Turku, Turku, Finland",978-953-233-098-4,10.23919/MIPRO.2019.8756712,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8756712,IEEE Conferences,IEEE,2,"2019 42nd International Convention on Information and Communication Technology, Electronics and Microelectronics (MIPRO)",IEEE Xplore
P. J. Denning; M. Tedre,COMPUTATIONAL THINKING,2019,Null,1,6,Null,NA; NA,9780262353410,Null,https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=8709361.pdf&bkn=8709327&pdfType=chapter,MIT Press eBook Chapters,MIT Press,0,Computational Thinking,IEEE Xplore
P. -H. Lin; S. -Y. Chen,Design and Evaluation of a Deep Learning Recommendation Based Augmented Reality System for Teaching Programming and Computational Thinking,2020,Null,45689,45699,"Programming is considered a skill to arouse and inspire learner's potential. Learning to program is a complex process that requires students to write grammar and instructions. The structure of a programming language does not cause impose problems to students, the real obstacle is how to apply these learned grammars and present them in a complete and correct program code for problem solving. In this study, a deep learning recommendation system was developed, which includes augmented reality (AR) technology, and learning theory, and is provided for study by students in non-major and also from different learning backgrounds. Those students divided into two groups, the students participating in the experimental group were using the AR system with deep learning recommendation and the students participating in the control group were using the AR system without deep learning recommendation. The results show that students in experimental group perform better than the control group with regards to learning achievement. On the other hand, in the part of computational thinking ability, students using a deep learning recommendation based AR system is significantly better than those using non-deep learning recommendation based AR system. Among the various dimensions of computational thinking, creativity, logical computing, critical thinking, and problem-solving skills are significantly different among the two groups of students. The students in experimental group perform better than the control group with regards to the dimensions of computational thinking, creativity, logical computing, critical thinking, and problem-solving skills.","Department of Engineering Science, National Cheng Kung University, Tainan, Taiwan; Department of Computer Science and Information Engineering, National Taitung University, Taitung, Taiwan",Null,10.1109/ACCESS.2020.2977679,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9020189,IEEE Journals,IEEE,72,IEEE Access,IEEE Xplore
P. Srisangngam; C. Dechsura,STEM Education Activities Development to Promote Computational Thinking’s Students,2020,Null,103,105,"This research aims to develop STEM learning activities for promote student's computational thinking skills and the results of this learning activities toward computational thinking of senior school student in the computing classroom. The study groups were 30 secondary school students in Pranakorn Si Ayutthaya who were studying in Semester 1, Academic Year 2019. They were selected by purposive sampling method. The research instruments were; (1) STEM education lesson plans for computational thinking developments; (2) The student's journals; and (3) Computational thinking test. The research was divided into three phases. The first phase focused on design lesson plans and learning activities for developing student's computational thinking skills. The second phase is implement the lesson plans and learning activities with the study group. The third phase is evaluation of the effectiveness of learning activities on develop student's computational thinking skills. The results shown learning activities can develop student's computational thinking skills, because of these activities were challenged students with real everyday life problems that required to used their computational thinking to solve the problems by decompose problems, find pattern recognition, abstraction thinking and develop algorithm for computer programming. So, these STEM learning activities could be effectively used in Computing course.","Faculty of Science and Technology, Phranakhon Si Ayutthaya Rajabhat University, Ayutthaya, Thailand; Faculty of Education, Phranakhon Si Ayutthaya Rajabhat University, Ayutthaya, Thailand",978-1-7281-9570-4,10.1109/iSTEM-Ed50324.2020.9332734,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9332734,IEEE Conferences,IEEE,5,2020 5th International STEM Education Conference (iSTEM-Ed),IEEE Xplore
P. Garcia; A. Jackson; L. -A. Jacobs,Centering the Identities of Girls of Color in Computational Thinking Programs,2020,Null,1,7,"Efforts to broaden participation in computing have revealed the need for a deeper theoretical and empirical understanding of how girls of color form computing identities. In this paper, we use the concept of identities-in-practice as an analytical frame to examine how girls of color engage in computational thinking practices. Our research investigates how the identities of girls of color can be leveraged as funds of knowledge in learning spaces and asks the following research question: How does centering the identities of girls of color impact their engagement with computational thinking practices? We provide a program overview of CompuGirls, describe our curricular design approach, and share results from pilot implementations of the program offered at public libraries in Michigan, Arizona, and California. Results from our pilot year demonstrate that integrating identity exploration into a computational thinking curriculum results in a mutually reinforcing relationship where girls of color experience reflective identity development while simultaneously increasing their understanding of computational thinking. We present our approach as a promising avenue for connecting computing knowledge and skills to girls' identities and lived experiences. By focusing on the girls' identities, the program re-imagines computational experiences by fostering interactions with computational thinking from a personal perspective. Ultimately, we argue that centering girls' identities should be viewed as an integral part of the learning process and not tangential.","School of Information, University of Michigan, Ann Arbor, USA; School of Education, University of Michigan, Ann Arbor, USA; School of Education, University of Michigan, Ann Arbor, USA",978-1-7281-7172-2,10.1109/RESPECT49803.2020.9272507,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9272507,IEEE Conferences,IEEE,1,"2020 Research on Equity and Sustained Participation in Engineering, Computing, and Technology (RESPECT)",IEEE Xplore
